Gene,Product,Category,Tier
nisA,Nisin structural peptide (lantibiotic core),Bacteriocins,core
nisZ,Nisin Z structural variant,Bacteriocins,supportive
nisB,Dehydratase (post-translational modification),Bacteriocins,supportive
nisC,Cyclase/thioether ring formation enzyme,Bacteriocins,supportive
nisT,ABC exporter for nisin prepeptide,Bacteriocins,core
nisP,Leader peptidase/protease (maturation),Bacteriocins,supportive
nisI,Immunity lipoprotein,Bacteriocins,core
nisF,ABC immunity transporter ATP-binding subunit,Bacteriocins,core
nisE,ABC immunity transporter permease,Bacteriocins,core
nisG,ABC immunity transporter permease,Bacteriocins,core
nisR,Response regulator (two-component regulation),Bacteriocins,supportive
nisK,Sensor kinase (two-component regulation),Bacteriocins,supportive
spaS,Subtilin structural peptide,Bacteriocins,core
spaB,Lan modification enzyme,Bacteriocins,supportive
spaC,Lan modification enzyme,Bacteriocins,supportive
spaT,ABC transporter,Bacteriocins,contextual
spaI,Immunity protein,Bacteriocins,core
spaR,Response regulator,Bacteriocins,supportive
spaK,Sensor kinase,Bacteriocins,supportive
epiA,Epidermin structural peptide,Bacteriocins,core
epiB,Dehydratase,Bacteriocins,supportive
epiC,Cyclase,Bacteriocins,supportive
epiD,Decarboxylase for AviCys formation,Bacteriocins,supportive
epiP,Leader peptidase,Bacteriocins,supportive
epiQ,Transcriptional regulator,Bacteriocins,supportive
gdmA,Gallidermin structural peptide,Bacteriocins,core
mrsA,Mersacidin structural peptide,Bacteriocins,core
mrsB,Lan modification enzyme,Bacteriocins,supportive
mrsC,Lan modification enzyme,Bacteriocins,supportive
mrsD,Decarboxylase (AviCys),Bacteriocins,supportive
mrsT,ABC exporter,Bacteriocins,core
mrsR,Response regulator,Bacteriocins,supportive
mrsK,Sensor kinase,Bacteriocins,supportive
mrsE,Immunity ABC ATP-binding,Bacteriocins,core
mrsF,Immunity ABC permease,Bacteriocins,core
mrsG,Immunity ABC permease,Bacteriocins,core
ltnA1,Lacticin 3147 structural peptide A1,Bacteriocins,core
ltnA2,Lacticin 3147 structural peptide A2,Bacteriocins,core
ltnB,LanB-like modification enzyme,Bacteriocins,supportive
ltnC,LanC-like modification enzyme,Bacteriocins,supportive
ltnD,Protease/processing enzyme,Bacteriocins,supportive
ltnT,ABC transporter,Bacteriocins,contextual
ltnI,Immunity protein,Bacteriocins,core
lctA,Lacticin 481 structural peptide,Bacteriocins,core
lctM,LanM modification enzyme,Bacteriocins,supportive
lctT,ABC exporter,Bacteriocins,core
lctE,Immunity protein,Bacteriocins,core
lctF,Immunity protein,Bacteriocins,core
nukA,Nukacin structural peptide,Bacteriocins,core
nukM,LanM modification enzyme,Bacteriocins,supportive
nukT,ABC exporter,Bacteriocins,core
nukF,Immunity protein,Bacteriocins,core
nukE,Immunity protein,Bacteriocins,core
plnE,Plantaricin E structural peptide (two-peptide bacteriocin),Bacteriocins,core
plnF,Plantaricin F structural peptide,Bacteriocins,core
plnJ,Plantaricin J structural peptide,Bacteriocins,core
plnK,Plantaricin K structural peptide,Bacteriocins,core
plnG,ABC transporter,Bacteriocins,contextual
plnN,Immunity protein,Bacteriocins,core
plnO,Immunity protein,Bacteriocins,core
plnABCD,Two-component regulation locus (promoter/regulator),Bacteriocins,supportive
pedA,Pediocin structural peptide,Bacteriocins,core
pedB,Immunity protein,Bacteriocins,core
pedC,Accessory protein (export/maturation),Bacteriocins,contextual
pedD,ABC exporter,Bacteriocins,core
entA,Enterocin A structural peptide,Bacteriocins,core
entB,Enterocin B structural peptide,Bacteriocins,core
entK,Enterocin K structural peptide,Bacteriocins,core
entP,Enterocin P structural peptide,Bacteriocins,core
entI,Immunity protein,Bacteriocins,core
entF,ABC transporter ATPase,Bacteriocins,contextual
sakA,Sakacin structural peptide,Bacteriocins,core
sakT,Transporter (ABC),Bacteriocins,contextual
sakI,Immunity protein,Bacteriocins,core
sapA,Sakacin P structural peptide,Bacteriocins,core
sapB,Immunity protein (sakacin P),Bacteriocins,core
sapT,ABC exporter (sakacin P),Bacteriocins,core
lcnA,Leucocin A structural peptide,Bacteriocins,core
lcnB,Immunity protein,Bacteriocins,core
lcnC,ABC transporter,Bacteriocins,contextual
lcnD,Accessory/export,Bacteriocins,contextual
curA,Curvacin A structural peptide,Bacteriocins,core
curB,Immunity protein,Bacteriocins,core
curC,ABC exporter,Bacteriocins,core
cbnA,Carnobacteriocin structural peptide,Bacteriocins,core
cbnB,Carnobacteriocin structural peptide,Bacteriocins,core
cbnC,Carnobacteriocin structural peptide,Bacteriocins,core
cbnI,Immunity protein,Bacteriocins,core
cbnT,ABC transporter,Bacteriocins,contextual
thuA,Thuricin structural peptide,Bacteriocins,core
thuB,Thuricin structural peptide,Bacteriocins,core
ttsB,ABC exporter (thuricin),Bacteriocins,core
ttsI,Immunity protein (thuricin),Bacteriocins,core
sboA,Subtilosin A structural peptide,Bacteriocins,core
albA,Immunity protein (subtilosin),Bacteriocins,core
albB,Processing enzyme,Bacteriocins,supportive
albC,Modification enzyme,Bacteriocins,supportive
albD,Modification enzyme,Bacteriocins,supportive
albE,ABC exporter ATPase,Bacteriocins,core
albF,ABC exporter permease,Bacteriocins,core
albG,Immunity protein,Bacteriocins,core
as-48A,AS-48 structural peptide (circular bacteriocin),Bacteriocins,core
as-48B,Transport/immunity accessory,Bacteriocins,core
as-48C,Transport/immunity accessory,Bacteriocins,core
as-48D1,Immunity protein,Bacteriocins,core
as-48D2,Immunity protein,Bacteriocins,core
as-48E,ABC exporter ATPase,Bacteriocins,core
as-48F,ABC exporter permease,Bacteriocins,core
as-48G,Accessory protein,Bacteriocins,contextual
as-48H,Accessory protein,Bacteriocins,contextual
cea,Colicin structural gene (generic),Bacteriocins,supportive
cei,Colicin immunity protein,Bacteriocins,core
cel,Colicin lysis/release protein,Bacteriocins,supportive
cbrA,Colicin B receptor (OM; TonB-dependent),Bacteriocins,supportive
cirA,Catecholate siderophore/colicin I receptor (OM),Bacteriocins,supportive
ompF,Outer membrane porin used by colicins (receptor),Bacteriocins,supportive
tolQ,Inner membrane energization (colicin translocation),Bacteriocins,supportive
tolR,Inner membrane energization,Bacteriocins,supportive
tolA,Periplasmic translocation component,Bacteriocins,supportive
tolB,Periplasmic translocation component,Bacteriocins,supportive
pal,Peptidoglycan-associated lipoprotein,Bacteriocins,supportive
lexA,SOS repressor (promoter/regulator of colicin operons),Bacteriocins,supportive
recA,SOS activator (LexA autocleavage; colicin induction),Bacteriocins,supportive
mcbA,Microcin B17 precursor peptide,Bacteriocins,supportive
mcbB,Microcin B17 modifying enzyme,Bacteriocins,supportive
mcbC,Microcin B17 modifying enzyme,Bacteriocins,supportive
mcbD,Microcin B17 modifying enzyme,Bacteriocins,supportive
mcbE,ABC exporter ATPase,Bacteriocins,core
mcbF,ABC exporter membrane subunit,Bacteriocins,core
mcbG,Immunity protein,Bacteriocins,core
mcjA,Microcin J25 precursor peptide (lasso peptide),Bacteriocins,supportive
mcjB,Processing enzyme,Bacteriocins,supportive
mcjC,Cyclase,Bacteriocins,supportive
