Gene,Product,Category,Tier
A0O21_01275,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A0O21_09210,Carbamate kinase,Acid tolerance,Core
A361_01655,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
A361_04040,Arginine deiminase,Acid tolerance,Core
A374_05431,"L-2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
A5800_002450,Carbamate kinase,Acid tolerance,Core
A5802_001346,Carbamate kinase,Acid tolerance,Core
A5802_002613,Carbamate kinase,Acid tolerance,Core
A5810_000901,Carbamate kinase,Acid tolerance,Core
A5816_000702,Carbamate kinase,Acid tolerance,Core
A5821_000209,Carbamate kinase,Acid tolerance,Core
A5821_001936,Carbamate kinase,Acid tolerance,Core
A5821_002847,glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5821_003387,Carbamate kinase,Acid tolerance,Core
A5844_000528,Carbamate kinase,Acid tolerance,Core
A5844_001235,Carbamate kinase,Acid tolerance,Core
A5844_001306,Carbamate kinase,Acid tolerance,Core
A5867_001094,Carbamate kinase,Acid tolerance,Core
A5867_001106,Carbamate kinase,Acid tolerance,Core
A5867_003373,Carbamate kinase,Acid tolerance,Core
A5867_003432,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5875_002329,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5875_003295,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5875_003575,Carbamate kinase,Acid tolerance,Core
A5875_004074,Carbamate kinase,Acid tolerance,Core
A5875_004164,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5880_001347,Carbamate kinase,Acid tolerance,Core
A5880_002956,Carbamate kinase,Acid tolerance,Core
A5882_000639,Carbamate kinase,Acid tolerance,Core
A5882_000705,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5882_003407,Carbamate kinase,Acid tolerance,Core
A5882_003420,Carbamate kinase,Acid tolerance,Core
A5883_002196,Carbamate kinase,Acid tolerance,Core
A5883_002208,Carbamate kinase,Acid tolerance,Core
A5883_002415,Carbamate kinase,Acid tolerance,Core
A5883_002469,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5883_003503,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5884_000814,Glutamate decarboxylase (EC 4.1.1.15),Acid tolerance,Core
A5884_001369,Carbamate kinase,Acid tolerance,Core
A5884_001630,Carbamate kinase,Acid tolerance,Core
A5884_001795,Carbamate kinase,Acid tolerance,Core
A5884_003444,Carbamate kinase,Acid tolerance,Core
A5886_000734,Carbamate kinase,Acid tolerance,Core
A5888_000099,Carbamate kinase,Acid tolerance,Core
A5888_001361,Carbamate kinase,Acid tolerance,Core
A5888_001903,Carbamate kinase,Acid tolerance,Core
A5888_001904,"CRP/FNR family transcriptional regulator, arginine deiminase pathway regulator",Acid tolerance,Core
A5889_000287,Carbamate kinase,Acid tolerance,Core
A5889_000581,Carbamate kinase,Acid tolerance,Core
A5889_000608,Carbamate kinase,Acid tolerance,Core
A5889_001496,Carbamate kinase,Acid tolerance,Core
A7975_15165,Glutamate decarboxylase,Acid tolerance,Core
A7975_20475,"2,4-diaminobutyrate decarboxylase",Acid tolerance,Core
A8F94_09905,Carbamate kinase,Acid tolerance,Core
A8F94_13300,Carbamate kinase,Acid tolerance,Core
A8L44_10560,Carbamate kinase,Acid tolerance,Core
A9C19_20495,Arginine deiminase,Acid tolerance,Core
A9Q68_00325,Carbamate kinase,Acid tolerance,Core
AA984_15005,Glutamate decarboxylase,Acid tolerance,Core
